model,accuracy,precision,recall,f1,average_precision_pr
IoT Only,0.7777777777777778,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8588235294117645
LLM Only,0.8888888888888888,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9126984126984127
IoT + LLM,0.8333333333333334,0.75,0.8571428571428571,0.8,0.8564425770308122
IoT + LLM + Acceptance,0.7777777777777778,0.6666666666666666,0.8571428571428571,0.75,
