model,accuracy,precision,recall,f1,average_precision_pr
IoT Only,0.8166666666666667,0.08333333333333333,1.0,0.15384615384615385,0.25
LLM Only,0.016666666666666666,0.016666666666666666,1.0,0.03278688524590164,0.1111111111111111
IoT + LLM,0.9833333333333333,0.0,0.0,0.0,0.5
IoT + LLM + Acceptance,0.9333333333333333,0.0,0.0,0.0,
